排名,片名,评分,评价人数,导演,主演,简介,年份,类型,片长,IMDb,链接
1,肖申克的救赎,9.7,3284641,弗兰克·德拉邦特 Frank Darabont,蒂姆·罗宾斯 Tim Robbins /...,希望让人自由。,1994,剧情/犯罪,142分钟,tt0111161,https://movie.douban.com/subject/1292052/
2,霸王别姬,9.6,2423365,陈凯歌 Kaige Chen,张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,风华绝代。,1993,剧情/爱情/同性,171分钟,tt0106332,https://movie.douban.com/subject/1291546/
3,泰坦尼克号,9.5,2498645,詹姆斯·卡梅隆 James Cameron,莱昂纳多·迪卡普里奥 Leonardo...,失去的才是永恒的。,1998,剧情/爱情/灾难,194分钟,tt0120338,https://movie.douban.com/subject/1292722/
4,阿甘正传,9.5,2430466,罗伯特·泽米吉斯 Robert Zemeckis,汤姆·汉克斯 Tom Hanks / ...,一部美国近现代史。,1994,剧情/爱情,142分钟,tt0109830,https://movie.douban.com/subject/1292720/
5,千与千寻,9.4,2537042,宫崎骏 Hayao Miyazaki,柊瑠美 Rumi Hîragi / 入野自由 Miy...,最好的宫崎骏，最好的久石让。,2019,剧情/动画/奇幻,125分钟,tt0245429,https://movie.douban.com/subject/1291561/
6,美丽人生,9.5,1482436,罗伯托·贝尼尼 Roberto Benigni,罗伯托·贝尼尼 Roberto Beni...,最美的谎言。,2020,剧情/喜剧/爱情/战争,116分钟(国际版),tt0118799,https://movie.douban.com/subject/1292063/
7,星际穿越,9.4,2183880,克里斯托弗·诺兰 Christopher Nolan,马修·麦康纳 Matthew Mc...,爱是一种力量，让我们超越时空感知它的存在。,2014,剧情/科幻/冒险,169分钟,tt0816692,https://movie.douban.com/subject/1889243/
8,这个杀手不太冷,9.4,2552471,吕克·贝松 Luc Besson,让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,怪蜀黍和小萝莉不得不说的故事。,2024,剧情/动作/犯罪,133分钟(中国大陆),tt0110413,https://movie.douban.com/subject/1295644/
9,盗梦空间,9.4,2325667,克里斯托弗·诺兰 Christopher Nolan,莱昂纳多·迪卡普里奥 Le...,诺兰给了我们一场无法盗取的梦。,2010,剧情/科幻/悬疑/冒险,148分钟,tt1375666,https://movie.douban.com/subject/3541415/
10,楚门的世界,9.4,2019406,彼得·威尔 Peter Weir,金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,如果再也不能见到你，祝你早安，午安，晚安。,1998,剧情/科幻,103分钟,tt0120382,https://movie.douban.com/subject/1292064/
